,level_0,index,Date,Close,Open,High,Low,Vol,Fluctuations,RSI,SMA_5,SMA_20,EMA,MACD,signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC,sent_index
1657,1726,203,2022-10-17,3689.25,3591.0,3702.5,3590.5,1950000,2.55%,40.1625718443495,3619.85,3708.5875,3659.439593850472,-82.39608803147803,-82.54313734020187,33.452315680506906,44.48410522683551,50.14021723627405,37.75649978366888,-72.0125786163522,-341.75,-0.06261740763932044,0.0
1658,1727,202,2022-10-18,3732.75,3706.25,3777.25,3697.25,2750000,1.18%,44.718773477105444,3636.15,3697.75,3667.95057678675,-73.50187861816312,-80.73488559579411,100.0,77.81743856016884,63.17449959681644,51.511529094980034,-35.770440251572325,-222.75,0.2637630190720941,-1.0
1659,1728,201,2022-10-19,3707.25,3759.75,3774.25,3676.75,2350000,-0.68%,46.668830142534404,3666.7,3691.8,3684.641381007341,-61.428046415501285,-76.87351775973555,99.99999999999999,77.81743856016884,68.75028781327553,60.688334882122014,-18.946540880503143,-147.75,-1.0852407261247032,1.0
1660,1729,200,2022-10-20,3675.25,3708.0,3748.0,3666.25,2400000,-0.86%,45.07768076298294,3689.05,3687.5,3688.88840264237,-55.39666168218491,-72.57814654422542,73.79100174833346,91.26366724944437,76.92191715697179,69.61556818902126,-35.22012578616352,-272.0,-2.3117960877297006,-0.3333333333333333
1661,1730,199,2022-10-21,3764.0,3677.75,3773.25,3641.5,2680000,2.41%,44.16709438256976,3688.55,3682.525,3686.863238525575,-52.4530222280805,-68.55312168099644,58.98243104881617,77.59114426571642,67.76023257425705,71.14414584816814,-44.73270440251572,-332.5,-1.815390776213044,-0.3333333333333333
1662,1731,198,2022-10-24,3809.25,3771.0,3822.0,3736.5,2110000,1.20%,47.5460647330565,3724.55,3685.8125,3702.160831520925,-42.11025032269299,-63.26454740933575,100.00000000000001,77.59114426571642,60.46123552381268,68.38112841834719,-15.9375,-306.25,3.6344898660254144,-0.3333333333333333
1663,1732,197,2022-10-25,3870.25,3803.25,3874.25,3790.0,1840000,1.60%,48.657728286655725,3743.95,3692.575,3720.540680335302,-30.954400535591958,-56.80251803458699,100.0,86.32747701627193,62.65351101077065,63.62499303628015,-19.073203492276694,-315.0,4.924477550175865,-0.3333333333333333
1664,1733,196,2022-10-26,3841.0,3841.0,3897.5,3824.25,2120000,-0.76%,49.94235283842748,3760.2,3701.2,3742.442374819793,-18.849909670648685,-49.21199636179933,100.0,99.99999999999987,73.05666878073941,65.39047177177427,-14.285714285714285,-95.75,6.487385639035215,1.0
1665,1734,195,2022-10-27,3819.5,3844.25,3870.75,3757.5,2210000,-0.56%,50.05365267637051,3787.45,3706.9,3760.952852125285,-8.892261161981878,-41.14804932183584,100.0,99.99999999999987,75.54135757921587,70.41717912357534,-13.463969658659924,-110.75,6.896072297532152,0.19999999999999996
1666,1735,194,2022-10-28,3911.25,3798.25,3924.25,3776.75,2080000,2.40%,48.47551721667427,3811.55,3713.9875,3767.7341517388695,-4.658864055055346,-33.850212268479744,19.058875433391627,73.01962514446375,63.33946231413669,70.64582955803068,-29.840142095914743,-90.25,3.2063039195706855,-0.6
