,CNN,RNN,LSTM,BiLSTM,ATFN
181,3770.185,3916.7395,3839.6707,3829.6736,3784.1443
182,3727.6328,3936.3223,3800.406,3796.4543,3808.876
183,3798.4502,3896.0742,3794.376,3802.2314,3818.0352
184,3813.5928,3884.6553,3818.8374,3826.2039,3852.7197
185,3793.375,3988.1846,3841.7124,3839.4485,3814.6672
186,3712.7065,4060.2166,3834.6226,3819.0042,3869.7178
187,3788.3345,4068.6597,3870.101,3874.6177,3975.069
188,3898.0996,3971.6968,3906.289,3917.8745,3991.83
189,3933.2625,3900.9497,3942.709,3950.9954,3980.5642
190,3933.3425,4000.1099,3971.2234,3968.0894,3989.6062
191,3981.1865,4049.218,3948.4448,3946.5332,3969.1614
192,3939.7324,3972.9373,3942.8135,3958.0942,3998.3428
193,3975.0352,3998.0195,3958.0195,3982.354,4005.9106
194,3967.4373,3952.5776,3959.875,3990.3281,3998.9072
195,4022.9536,4093.4045,3995.572,4028.3335,4011.6367
196,3999.163,4175.1733,4026.8667,4063.2502,4029.9023
